fips,county,state,base_cancer,base_neuro,base_amr,w_pm25,w_poverty,w_access,pm25,poverty,access
06051,Mono,CA,0.07031200930910977,0.10003577631900543,0.09459999999999999,1.0,0.8,-0.7,3.9976142352941175,0.09253547193090689,0.918
06053,Monterey,CA,0.18278201420370183,0.23640002761861706,0.27325555555555553,1.0,0.8,-0.7,5.5739318,0.15731030228254164,0.841
06055,Napa,CA,0.5,0.5,0.1691,1.0,0.8,-0.7,,0.0,0.903
06057,Nevada,CA,0.029279279279279275,0.30000000000000004,0.16457777777777777,1.0,0.8,-0.7,3.816812555555556,0.0,0.944
06059,Orange,CA,0.35,0.325,0.17447777777777776,1.0,0.8,-0.7,10.776314294117647,0.0,0.911
06061,Placer,CA,0.12899691788388526,0.185568786757616,0.03235555555555565,1.0,0.8,-0.7,6.015059222222222,0.0,0.944
06063,Plumas,CA,0.4419646782653155,0.7033442416019307,0.3225333333333333,1.0,0.8,-0.7,8.620992277777779,0.18507094386181377,0.9359999999999999
06065,Riverside,CA,0.40855855855855855,0.425,0.25587777777777776,1.0,0.8,-0.7,9.903721803149606,0.31770512029611336,0.873
06067,Sacramento,CA,0.2557193103196859,0.2539370150230513,0.15054444444444437,1.0,0.8,-0.7,6.806614743589743,0.06785934608266514,0.913
06069,San Benito,CA,0.22629431658361296,0.1988893369944482,0.17392222222222226,1.0,0.8,-0.7,7.170783888888888,0.10178901912399771,0.861
06071,San Bernardino,CA,0.4554054054054054,0.4000000000000001,0.23734444444444439,1.0,0.8,-0.7,11.121578352941176,0.22516964836520648,0.857
06073,San Diego,CA,0.27170477194055703,0.23288980452047747,0.057211111111111115,1.0,0.8,-0.7,8.247658543478261,0.0,0.913
06075,San Francisco,CA,0.17213464015688296,0.14754397727732824,0.0655666666666666,1.0,0.8,-0.7,6.689929222222222,0.0,0.937
06077,San Joaquin,CA,0.45179694136450027,0.4068491157641663,0.2484,1.0,0.8,-0.7,9.141262333333334,0.1603948180135717,0.872
06079,San Luis Obispo,CA,0.0627499270317896,0.17878565174153394,0.053611111111111116,1.0,0.8,-0.7,4.97865525,0.0,0.925
06081,San Mateo,CA,0.07966550638569217,0.06828471975916471,0.09757777777777778,1.0,0.8,-0.7,5.243291777777778,0.0,0.9339999999999999
06083,Santa Barbara,CA,0.09375255925838863,0.17032072646858032,0.12843333333333337,1.0,0.8,-0.7,5.280452907407407,0.0,0.883
06085,Santa Clara,CA,0.19988651343564068,0.17133129723054916,0.09040000000000002,1.0,0.8,-0.7,7.124094628571428,0.0,0.9319999999999999
06087,Santa Cruz,CA,0.13794723727030558,0.19324048908883343,0.07276666666666662,1.0,0.8,-0.7,6.155082888888889,0.0,0.913
06089,Shasta,CA,0.3212047352982146,0.3846812789042611,0.18463333333333326,1.0,0.8,-0.7,5.998860457142857,0.13571869216532995,0.929
